title,author,url,Keyword
Exploring the World of Game Development: A Python-based Space Shooter Game,"(Takkar, 2023)",https://www.researchgate.net/publication/371985378_Exploring_the_World_of_Game_Development_A_Python-based_Space_Shooter_Game,shooter game pygame python game using pygame game designed game development space shooter using pygame interactive game game feature
Gaussian kernel smooth regression with topology learning neural networks and Python implementation,"(Xiang et al., 2017)",https://www.sciencedirect.com/science/article/abs/pii/S092523121730125X,topology learning clustering method clustering density estimation transform clustering online clustering neural network kernel density network density transform topology
Testing Heteroskedasticity in High-Dimensional Linear Regression,"(Shinkyu, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S245230622300076X,residual lasso lasso proposed testing heteroskedasticity lasso heteroskedasticity highdimensional heteroskedasticity regression number based residual covariates larger empirical size
Prediction of renewable energy hosting capacity using multiple linear regression in KEPCO system,"(Lee, Im, & Lee, 2023)",https://www.sciencedirect.com/science/article/pii/S2352484723013616,methodology predicting power generation hc factor prediction model based factor renewable energy predicting monthly characteristic predicting generation prediction energy renewable
Predictive modeling of PV solar power plant efficiency considering weather conditions: A comparative analysis of artificial neural networks and multiple linear regression,"(Sahin, Isik, & van Sark, 2023)",https://www.sciencedirect.com/science/article/pii/S2352484723013422,photovoltaic pv kwp photovoltaic photovoltaic energy forecasting pv solar plant efficiency efficiency prediction pv panel solar power energy investment
Fuzzy linear regression based on a hybrid of fuzzy C-means and the fuzzy inference system for predicting serum iron levels in patients with chronic kidney disease,"(Kusumadewi, Rosita, & Wahyuni, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0957417423008163,multiple regression model fuzzy regression regression problemsolving fuzzy inference training data output fuzzy regression proven produce fuzzy fuzzy set
A predictive analytics model for forecasting outcomes in the National Football League games using decision tree and logistic regression,"(Gifford & Bayrak, 2023)",https://www.sciencedirect.com/science/article/pii/S2772662223001364,sport analytics predictive analytics predictor football analytics forecast nfl analytics model logistic regression analytics gained logistics regression outcome nfl
Special article Deployment of an Interdisciplinary Predictive Analytics Task Force to Inform Hospital Operational Decision-Making During the COVID-19 Pandemic,"(Pollock et al., 2021)",https://www.sciencedirect.com/science/article/pii/S0025619620314828,decisionmaking hospital covid19 hospital 2019 covid19 covid19 predictive deployment covid19 pandemic task 2020 institution interdisciplinary predictive impact hospital covid19
Towards predictive analytics in internal logistics  An approach for the data-driven determination of key performance indicators,"(Wuennenberg, Muehlbauer, Fottner, & Meissner, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S1755581723000676,logistics performance datadriven method datadriven internal logistics logistics analysis database data guideline data processing decision tree categorizes data
Deploying predictive analytics to enhance patient agility and patient value in hospitals: A position paper and research proposal,"(Broekharst et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2772442523000084,patient value value hospital demand patient patient agility enable hospital fostering patient hospital care patient respond health service hospital initial
A CNN encoder decoder LSTM model for sustainable wind power predictive analytics,"(Garg & Krishnamurthi, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S2210537923000240,lstm cnnedlstm encoder lstm lstm model using lstm encoderdecoder lstm wind turbine working lstm wp forecasting lstm wind farm
Carrier removal rates in 4HSiC power diodes  A predictive analytical model,"(Siddiqui et al., 2023)",https://www.sciencedirect.com/science/article/abs/pii/S136980012300464X,sic diode diode radiation diode rating diode mev rate sic power diode diode device irradiating sic suggest diode energy diode
A developer-oriented recommender model for the app store: A predictive network analytics approach,"(Davazdahemami et al., 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0148296323000073,app market popular apps recommendation formed mobile application analytics approach application apps apps apps collected approach predicting list apps
Nursing and precision predictive analytics monitoring in the acute and intensive care setting: An emerging role for responding to COVID-19 and beyond,"(Keim-Malpass & Moorman, 2021)",https://www.sciencedirect.com/science/article/pii/S2666142X21000011,nursing precision nurse tasked clinical workflow aibased predictive clinical decisionmaking nurse frontline nursing predictive analytics patient care continues nurse
Incorporating environmental covariates to explore genotype × environment × management (G × E × M) interactions: A one-stage predictive model,"(Mumford et al., 2023)",https://www.sciencedirect.com/science/article/pii/S037842902300326X,agronomic experimentation genotype management genotype environment modelling genotype interaction agronomic evaluating genotype agronomic grain grower genotype trait grain
Developing a survival probability-based Lagrangian model for predicting ultraviolet disinfection of bioaerosols in enclosed environments,"(Pan et al., 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0360132323007928,disinfection airborne predict bioaerosol disinfection bioaerosols disinfect bioaerosols bioaerosols implemented airborne bioaerosols faruvc disinfection probability bioaerosol bioaerosols proposed uvc disinfection
A graph neural network model with local environment pooling for predicting adsorption energies,"(Li et al., 2023)",https://www.sciencedirect.com/science/article/abs/pii/S2210271X23001433,catalytic prediction catalyst discovery predict adsorption predicting adsorption descriptor catalytic catalytic activity catalyst surface adsorption energy metal catalyst novel catalyst
An individualized and multi-segmental bioheat model for predicting local conditions of the human body under various thermal environments,"(Afzalian & Zolfaghari, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0306456523002498,human thermal multisegmental thermoregulatory individualized thermoregulatory multisegment thermoregulatory thermoregulatory bioheat simplified thermoregulatory thermal response bioheat model thermoregulatory skin temperature
Enhanced reinforcement learning in two-layer economic model predictive control for operation optimization in dynamic environment,"(Zhang & Li, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0263876223003842,control empc prediction empc predictive control process control control optimization empc rl empc technique modelbased control process model control approach
Pupil size and gender-driven occupant's productivity predictive model for diverse indoor lighting conditions in the office environment,"(Kim et al., 2022)",https://www.sciencedirect.com/science/article/abs/pii/S0360132322009039,lighting management lighting environment indoor lighting various lighting lighting condition personalized lighting lighting model light diverse lighting lightgbm classifier
Electoral forecasting using a novel temporal attenuation model: Predicting the US presidential elections,"(Topîrceanu, 2021)",https://www.sciencedirect.com/science/article/pii/S095741742100720X,electoral forecasting election forecasting poll data forecasting performance pollster accumulate improve forecasting forecasting voter dampens best pollster forecasting accuracy
Machine learning for predicting elections in Latin America based on social media engagement and polls,"(Brito & Adeodato, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0740624X22001186,predicting election poll strategy prediction campaign future election framework election poll result nowcasting election election nowcasting election similar used predicting
Forecasting South Koreas presidential election via multiparty dynamic Bayesian modeling,"(Kang & Oh, 2023)",https://www.sciencedirect.com/science/article/abs/pii/S0169207023000043,forecasting election forecasting presidential forecast presidential poll framework multiparty forecast election outcome presidential election election addition forecast framework statistic political
Health outcome predictive modelling in intensive care units,"(Xian et al., 2023)",https://www.sciencedirect.com/science/article/abs/pii/S2211692323000322,mortality prediction model mortality mod nursing nursing workload mortality based hospital icu specifying mortality health evaluation regression mortality intensive care
Predicting Chinese total retail sales of consumer goods by employing an extended discrete grey polynomial model,"(Liu et al., 2021)",https://www.sciencedirect.com/science/article/abs/pii/S0952197621001081,chinese retail chinese economy consumption level sale consumer proposed model retail sale model introduction total retail trend chinese consumer good
Choice based diffusion model for predicting sales of mobile phones using conjoint analysis,"(Anand et al., 2018)",https://www.sciencedirect.com/science/article/pii/S1047831018300269,preference consumer consumer buying understanding consumer marketing research buying behavior consumer ability consumer customer mobile consideration customer customer choice
Artificial Intelligence for anatomical segmentation and use cases in CBCTs,"(Choi, 2023)",https://www.sciencedirect.com/science/article/pii/S0020653923003015,segmentation anatomical cone beam beam ct stl segmentation segmentation measurement segmentation cone anatomical structure ct generally anatomical
ClimateFiller: A Python framework for climate time series gap-filling and diagnosis based on artificial intelligence and multi-source reanalysis data,"(El Hachimi et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2665963823001124,meteorological data clean weather error meteorological process soilplantatmosphere meteorological soilplantatmosphere soilplantatmosphere continuum measured meteorological weather time data machine
OpenFL-XAI: Federated learning of explainable artificial intelligence models in Python,"(Daole et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2352711023002017,trust ai ai application trustworthiness ai developing ai data privacy ai building accuracy privacy intelligence ai ai privacy collaborative
TARDIS: An updated artificial intelligence model to predict linear accelerator machine parameters at treatment delivery,"(Lay et al., 2022)",https://www.sciencedirect.com/science/article/pii/S2352711022000929,ai model predicts machine ai updated ai patient predictive intelligence ai artificial intelligence opensource artificial predict error available predict
"AI-GlobalEvents: A Software for analyzing, identifying and explaining global events with Artificial Intelligence","(Sufi, 2022)",https://www.sciencedirect.com/science/article/pii/S266596382200001X,event ai aiglobalevents aiglobalevents decision ai service software ai ai ai algorithm news event news portal detection sentiment
AI-Landslide: Software for acquiring hidden insights from global landslide data using Artificial Intelligence,"(Sufi, 2022)",https://www.sciencedirect.com/science/article/pii/S2665963821000750,ailandslide ai landslide data landslide researcher landslide feature insight landslide strategist landslide ai based ai algorithm landslide ai
IREX: Iterative Refinement and Explanation of classification models for tabular datasets,"(Sosa-Espadas et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2352711023001164,tabular datasets analyze data datasets selfreport questionnaire questionnaire providing item questionnaire tabular data analysis questionnaire data
SegmentationReview: A Slicer3D extension for fast review of AI-generated segmentations,"(Zapaishchykova et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2665963823000738,segmentation biomedical segmentationreview package segmentation slicer3d segmentation quality segmentation review segmentationreview quality segmentation segmentation automated imaging segmentation segmentationreview component
AIDSII: An AI-based digital system for intelligent irrigation,"(Raouhi et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2665963823001112,intelligent irrigation learningbased irrigation precision agriculture irrigation crucial agriculture cnnlstm irrigation model farmer automate irrigation process irrigation enabling farmer
AI-augmented usability evaluation framework for software requirements specification in cyber physical human systems,"(Gupta et al., 2023)",https://www.sciencedirect.com/science/article/abs/pii/S2542660523001646,evaluate usability usability evaluation existing usability automated usability usability design usability aiaugmented usability improve usability usability important design usability
ManufacturingNet: A machine learning toolbox for engineers,"(Antony et al., 2023)",https://www.sciencedirect.com/science/article/pii/S2352711023001747,manufacturingnet opensource propose manufacturingnet manufacturingnet manufacturingnet enable develop machine industry artificial believe manufacturingnet opensource machine enables engineer ai
